selected_id,map_id,source_type,anchor_id,anchor_label,archetype,generator_type,selection_method,selection_role,feature_cluster,batch_target,validation_status,wkt_dir,roads_wkt,metadata_json,preview_png,world_size_x,world_size_y,n_nodes,n_edges,road_density,gridness_score,corridor_score,partition_score,community_score,distance_to_nearest_selected,distance_to_pool_centroid,notes
20,OSM_lapland_rural_sparse_offset_s_2500m_200m_0233,osm,lapland_rural_sparse,Lapland rural roads,rural_roads,,hybrid,archetype_medoid,19,400,PASS,wkt/OSM_lapland_rural_sparse_offset_s_2500m_200m_0233,wkt/OSM_lapland_rural_sparse_offset_s_2500m_200m_0233/roads.wkt,wkt/OSM_lapland_rural_sparse_offset_s_2500m_200m_0233/metadata.json,wkt/OSM_lapland_rural_sparse_offset_s_2500m_200m_0233/preview.png,2477,2505,2065,2211,0.0003563321479769,0.2879,2.2658,0.0,0.9236,0.0,2.7421904725137756,
21,OSM_london_industrial_corridor_offset_w_2500m_1000m_0409,osm,london_industrial_corridor,London industrial corridor,industrial_disrupted,,hybrid,archetype_medoid,20,600,PASS,wkt/OSM_london_industrial_corridor_offset_w_2500m_1000m_0409,wkt/OSM_london_industrial_corridor_offset_w_2500m_1000m_0409/roads.wkt,wkt/OSM_london_industrial_corridor_offset_w_2500m_1000m_0409/metadata.json,wkt/OSM_london_industrial_corridor_offset_w_2500m_1000m_0409/preview.png,2561,2567,5620,5894,0.0008965503498812,0.4891,1.7839,0.0,0.9513,0.0,2.7808775566494655,
22,OSM_london_industrial_corridor_offset_w_2500m_200m_0933,osm,london_industrial_corridor,London industrial corridor,industrial_disrupted,,hybrid,archetype_medoid,21,1000,PASS,wkt/OSM_london_industrial_corridor_offset_w_2500m_200m_0933,wkt/OSM_london_industrial_corridor_offset_w_2500m_200m_0933/roads.wkt,wkt/OSM_london_industrial_corridor_offset_w_2500m_200m_0933/metadata.json,wkt/OSM_london_industrial_corridor_offset_w_2500m_200m_0933/preview.png,2574,2569,5744,6006,0.0009082652134423,0.4556,1.1617,0.0,0.9537,0.0,2.9970861771111053,
23,OSM_manhattan_midtown_exact_1500m_0m_1177,osm,manhattan_midtown,Manhattan Midtown,urban_grid,,hybrid,archetype_medoid,22,1200,PASS,wkt/OSM_manhattan_midtown_exact_1500m_0m_1177,wkt/OSM_manhattan_midtown_exact_1500m_0m_1177/roads.wkt,wkt/OSM_manhattan_midtown_exact_1500m_0m_1177/metadata.json,wkt/OSM_manhattan_midtown_exact_1500m_0m_1177/preview.png,1545,1542,1161,1279,0.0005368558464399,0.0453,1.1799,0.0,0.8726,0.0,2.9356443500616933,
24,OSM_manhattan_midtown_exact_5000m_0m_0994,osm,manhattan_midtown,Manhattan Midtown,urban_grid,,hybrid,archetype_medoid,23,1000,PASS,wkt/OSM_manhattan_midtown_exact_5000m_0m_0994,wkt/OSM_manhattan_midtown_exact_5000m_0m_0994/roads.wkt,wkt/OSM_manhattan_midtown_exact_5000m_0m_0994/metadata.json,wkt/OSM_manhattan_midtown_exact_5000m_0m_0994/preview.png,5056,5055,11558,12720,0.0004976899673214,0.1668,1.4129,0.0,0.9359,0.0,8.182141217725215,
25,OSM_mit_campus_reality_offset_n_1500m_1500m_0209,osm,mit_campus_reality,MIT Campus (Reality Mining),campus_compact,,hybrid,archetype_medoid,24,400,PASS,wkt/OSM_mit_campus_reality_offset_n_1500m_1500m_0209,wkt/OSM_mit_campus_reality_offset_n_1500m_1500m_0209/roads.wkt,wkt/OSM_mit_campus_reality_offset_n_1500m_1500m_0209/metadata.json,wkt/OSM_mit_campus_reality_offset_n_1500m_1500m_0209/preview.png,1581,1581,6679,8227,0.0032913779659708,0.4099,1.4297,0.0,0.9207,4.2146848510894035e-08,2.27612608073298,
26,OSM_mit_campus_reality_offset_n_1500m_500m_0495,osm,mit_campus_reality,MIT Campus (Reality Mining),campus_compact,,hybrid,archetype_medoid,25,600,PASS,wkt/OSM_mit_campus_reality_offset_n_1500m_500m_0495,wkt/OSM_mit_campus_reality_offset_n_1500m_500m_0495/roads.wkt,wkt/OSM_mit_campus_reality_offset_n_1500m_500m_0495/metadata.json,wkt/OSM_mit_campus_reality_offset_n_1500m_500m_0495/preview.png,1574,1544,7011,8596,0.0035370759294494,0.3426,1.2712,0.0,0.9179,4.2146848510894035e-08,2.4361899493752346,
27,OSM_nuuksio_sparse_trails_offset_e_2500m_1000m_0184,osm,nuuksio_sparse_trails,Nuuksio Sparse Trails,sparse_trails,,hybrid,archetype_medoid,26,200,PASS,wkt/OSM_nuuksio_sparse_trails_offset_e_2500m_1000m_0184,wkt/OSM_nuuksio_sparse_trails_offset_e_2500m_1000m_0184/roads.wkt,wkt/OSM_nuuksio_sparse_trails_offset_e_2500m_1000m_0184/metadata.json,wkt/OSM_nuuksio_sparse_trails_offset_e_2500m_1000m_0184/preview.png,2403,2620,887,900,0.0001429510821396,0.3211,1.5912,0.0,0.9422,0.0,3.3136059285044253,
28,OSM_nuuksio_sparse_trails_offset_e_5000m_500m_0322,osm,nuuksio_sparse_trails,Nuuksio Sparse Trails,sparse_trails,,hybrid,archetype_medoid,27,400,PASS,wkt/OSM_nuuksio_sparse_trails_offset_e_5000m_500m_0322,wkt/OSM_nuuksio_sparse_trails_offset_e_5000m_500m_0322/roads.wkt,wkt/OSM_nuuksio_sparse_trails_offset_e_5000m_500m_0322/metadata.json,wkt/OSM_nuuksio_sparse_trails_offset_e_5000m_500m_0322/preview.png,5137,5065,5183,5335,0.0002050432176142,0.3254,1.1327,0.0,0.9679,0.0,8.295678207242004,
29,OSM_sf_cabspotting_downtown_offset_s_1000m_1500m_0275,osm,sf_cabspotting_downtown,San Francisco Downtown (Cabspotting),dense_urban_irregular,,hybrid,archetype_medoid,28,400,PASS,wkt/OSM_sf_cabspotting_downtown_offset_s_1000m_1500m_0275,wkt/OSM_sf_cabspotting_downtown_offset_s_1000m_1500m_0275/roads.wkt,wkt/OSM_sf_cabspotting_downtown_offset_s_1000m_1500m_0275/metadata.json,wkt/OSM_sf_cabspotting_downtown_offset_s_1000m_1500m_0275/preview.png,1043,1047,1025,1085,0.0009935706364621,0.3726,1.2748,0.0,0.9088,0.0,5.388896819573731,
30,OSM_sf_mission_corridor_offset_w_5000m_1500m_0912,osm,sf_mission_corridor,San Francisco Mission Corridor,corridor_linear,,hybrid,archetype_medoid,29,1000,PASS,wkt/OSM_sf_mission_corridor_offset_w_5000m_1500m_0912,wkt/OSM_sf_mission_corridor_offset_w_5000m_1500m_0912/roads.wkt,wkt/OSM_sf_mission_corridor_offset_w_5000m_1500m_0912/metadata.json,wkt/OSM_sf_mission_corridor_offset_w_5000m_1500m_0912/preview.png,5189,5069,19179,20769,0.0007896045175917,0.6152,1.3509,0.0,0.9537,0.0,9.034498353988486,
31,OSM_sf_mission_corridor_offset_w_5000m_500m_0156,osm,sf_mission_corridor,San Francisco Mission Corridor,corridor_linear,,hybrid,archetype_medoid,30,200,PASS,wkt/OSM_sf_mission_corridor_offset_w_5000m_500m_0156,wkt/OSM_sf_mission_corridor_offset_w_5000m_500m_0156/roads.wkt,wkt/OSM_sf_mission_corridor_offset_w_5000m_500m_0156/metadata.json,wkt/OSM_sf_mission_corridor_offset_w_5000m_500m_0156/preview.png,5068,5042,17506,19107,0.0007477442051878,0.6379,1.1076,0.0,0.9485,0.0,8.477476415741712,
32,OSM_tampere_suburban_exact_1000m_0m_0325,osm,tampere_suburban,Tampere suburban low density,suburban_low_density,,hybrid,archetype_medoid,31,400,PASS,wkt/OSM_tampere_suburban_exact_1000m_0m_0325,wkt/OSM_tampere_suburban_exact_1000m_0m_0325/roads.wkt,wkt/OSM_tampere_suburban_exact_1000m_0m_0325/metadata.json,wkt/OSM_tampere_suburban_exact_1000m_0m_0325/preview.png,671,486,114,113,0.0003465130969684,0.1947,5.889,0.0,0.8407,0.0,6.384051465175563,
33,OSM_tampere_suburban_exact_1500m_0m_1119,osm,tampere_suburban,Tampere suburban low density,suburban_low_density,,hybrid,archetype_medoid,32,1200,PASS,wkt/OSM_tampere_suburban_exact_1500m_0m_1119,wkt/OSM_tampere_suburban_exact_1500m_0m_1119/roads.wkt,wkt/OSM_tampere_suburban_exact_1500m_0m_1119/metadata.json,wkt/OSM_tampere_suburban_exact_1500m_0m_1119/preview.png,1527,817,392,409,0.0003278402063549,0.3054,8.1256,0.0,0.8778,5.960464477539063e-08,2.8343000461707266,
34,OSM_tampere_suburban_exact_2500m_0m_1191,osm,tampere_suburban,Tampere suburban low density,suburban_low_density,,hybrid,archetype_medoid,33,1200,PASS,wkt/OSM_tampere_suburban_exact_2500m_0m_1191,wkt/OSM_tampere_suburban_exact_2500m_0m_1191/roads.wkt,wkt/OSM_tampere_suburban_exact_2500m_0m_1191/metadata.json,wkt/OSM_tampere_suburban_exact_2500m_0m_1191/preview.png,2434,2525,1274,1349,0.0002194977098367,0.4789,3.7118,0.0,0.911,4.2146848510894035e-08,2.6240785226901573,
35,OSM_tampere_suburban_exact_5000m_0m_0217,osm,tampere_suburban,Tampere suburban low density,suburban_low_density,,hybrid,archetype_medoid,34,400,PASS,wkt/OSM_tampere_suburban_exact_5000m_0m_0217,wkt/OSM_tampere_suburban_exact_5000m_0m_0217/roads.wkt,wkt/OSM_tampere_suburban_exact_5000m_0m_0217/metadata.json,wkt/OSM_tampere_suburban_exact_5000m_0m_0217/preview.png,5222,5171,9348,9800,0.0003629231489493,0.4365,1.4056,0.0,0.9609,1.6858739404357614e-07,8.557036326307857,
36,SYN_campus_compact_none_0506,synthetic,,,campus_compact,campus_compact,hybrid,archetype_medoid,35,600,PASS,wkt/SYN_campus_compact_none_0506,wkt/SYN_campus_compact_none_0506/roads.wkt,wkt/SYN_campus_compact_none_0506/metadata.json,wkt/SYN_campus_compact_none_0506/preview.png,290,290,23,57,0.0006777645659928,0.3158,1.2179,0.0,0.4737,0.0,5.438543278135935,
37,SYN_clustered_communities_haggle_contacts_only_0094,trace_reference_synthetic,haggle_contacts_only,Haggle (contacts only),clustered_communities,clustered_communities,hybrid,archetype_medoid,36,100,PASS,wkt/SYN_clustered_communities_haggle_contacts_only_0094,wkt/SYN_clustered_communities_haggle_contacts_only_0094/roads.wkt,wkt/SYN_clustered_communities_haggle_contacts_only_0094/metadata.json,wkt/SYN_clustered_communities_haggle_contacts_only_0094/preview.png,196,197,27,79,0.0020459960633999,0.2658,2.7861,0.0,0.481,0.0,6.096235845783901,
38,SYN_clustered_communities_haggle_contacts_only_0208,trace_reference_synthetic,haggle_contacts_only,Haggle (contacts only),clustered_communities,clustered_communities,hybrid,archetype_medoid,37,400,PASS,wkt/SYN_clustered_communities_haggle_contacts_only_0208,wkt/SYN_clustered_communities_haggle_contacts_only_0208/roads.wkt,wkt/SYN_clustered_communities_haggle_contacts_only_0208/metadata.json,wkt/SYN_clustered_communities_haggle_contacts_only_0208/preview.png,293,291,27,78,0.0009148165089194,0.2949,2.8106,0.0,0.3974,0.0,6.1099017093485015,
39,SYN_clustered_communities_haggle_contacts_only_0690,trace_reference_synthetic,haggle_contacts_only,Haggle (contacts only),clustered_communities,clustered_communities,hybrid,archetype_medoid,38,800,PASS,wkt/SYN_clustered_communities_haggle_contacts_only_0690,wkt/SYN_clustered_communities_haggle_contacts_only_0690/roads.wkt,wkt/SYN_clustered_communities_haggle_contacts_only_0690/metadata.json,wkt/SYN_clustered_communities_haggle_contacts_only_0690/preview.png,402,415,27,92,0.0005514595696217,0.2826,2.742,0.0,0.5978,0.0,5.366465959167221,
40,SYN_clustered_communities_haggle_contacts_only_0844,trace_reference_synthetic,haggle_contacts_only,Haggle (contacts only),clustered_communities,clustered_communities,hybrid,archetype_medoid,39,1000,PASS,wkt/SYN_clustered_communities_haggle_contacts_only_0844,wkt/SYN_clustered_communities_haggle_contacts_only_0844/roads.wkt,wkt/SYN_clustered_communities_haggle_contacts_only_0844/metadata.json,wkt/SYN_clustered_communities_haggle_contacts_only_0844/preview.png,663,622,27,94,0.0002279417826987,0.3404,3.2275,0.0,0.4681,0.0,5.612631666048078,
41,SYN_conference_event_compact_infocom_2006_trace_0663,trace_reference_synthetic,infocom_2006_trace,INFOCOM 2006 contact trace,conference_event_compact,conference_event_compact,hybrid,archetype_medoid,40,800,STRESS,wkt/SYN_conference_event_compact_infocom_2006_trace_0663,wkt/SYN_conference_event_compact_infocom_2006_trace_0663/roads.wkt,wkt/SYN_conference_event_compact_infocom_2006_trace_0663/metadata.json,wkt/SYN_conference_event_compact_infocom_2006_trace_0663/preview.png,250,72,28,25,0.0013888888888888,1.0,76.2138,1.0,0.92,0.0,10.459997408092649,
42,SYN_conference_event_compact_infocom_2006_trace_0937,trace_reference_synthetic,infocom_2006_trace,INFOCOM 2006 contact trace,conference_event_compact,conference_event_compact,hybrid,archetype_medoid,41,1000,STRESS,wkt/SYN_conference_event_compact_infocom_2006_trace_0937,wkt/SYN_conference_event_compact_infocom_2006_trace_0937/roads.wkt,wkt/SYN_conference_event_compact_infocom_2006_trace_0937/metadata.json,wkt/SYN_conference_event_compact_infocom_2006_trace_0937/preview.png,670,72,70,64,0.0013266998341625,1.0,572.2882,1.0,0.9688,2.384185791015625e-07,13.150107395019154,
43,SYN_conference_event_compact_infocom_2006_trace_1141,trace_reference_synthetic,infocom_2006_trace,INFOCOM 2006 contact trace,conference_event_compact,conference_event_compact,hybrid,archetype_medoid,42,1200,STRESS,wkt/SYN_conference_event_compact_infocom_2006_trace_1141,wkt/SYN_conference_event_compact_infocom_2006_trace_1141/roads.wkt,wkt/SYN_conference_event_compact_infocom_2006_trace_1141/metadata.json,wkt/SYN_conference_event_compact_infocom_2006_trace_1141/preview.png,460,76,56,51,0.0014588100686498,1.0,172.139,1.0,0.9804,0.0,11.883978024913963,
44,SYN_conference_event_compact_infocom_event_compact_0040,trace_reference_synthetic,infocom_event_compact,INFOCOM-style conference event (Info5),conference_event_compact,conference_event_compact,hybrid,archetype_medoid,43,100,STRESS,wkt/SYN_conference_event_compact_infocom_event_compact_0040,wkt/SYN_conference_event_compact_infocom_event_compact_0040/roads.wkt,wkt/SYN_conference_event_compact_infocom_event_compact_0040/metadata.json,wkt/SYN_conference_event_compact_infocom_event_compact_0040/preview.png,200,72,28,25,0.0017361111111111,1.0,34.6333,1.0,0.92,0.0,10.396921405007943,
45,SYN_conference_event_compact_infocom_event_compact_0263,trace_reference_synthetic,infocom_event_compact,INFOCOM-style conference event (Info5),conference_event_compact,conference_event_compact,hybrid,archetype_medoid,44,400,STRESS,wkt/SYN_conference_event_compact_infocom_event_compact_0263,wkt/SYN_conference_event_compact_infocom_event_compact_0263/roads.wkt,wkt/SYN_conference_event_compact_infocom_event_compact_0263/metadata.json,wkt/SYN_conference_event_compact_infocom_event_compact_0263/preview.png,470,72,70,64,0.0018912529550827,1.0,239.6436,1.0,0.9844,2.384185791015625e-07,12.802584019027126,
46,SYN_conference_event_compact_infocom_event_compact_0536,trace_reference_synthetic,infocom_event_compact,INFOCOM-style conference event (Info5),conference_event_compact,conference_event_compact,hybrid,archetype_medoid,45,600,STRESS,wkt/SYN_conference_event_compact_infocom_event_compact_0536,wkt/SYN_conference_event_compact_infocom_event_compact_0536/roads.wkt,wkt/SYN_conference_event_compact_infocom_event_compact_0536/metadata.json,wkt/SYN_conference_event_compact_infocom_event_compact_0536/preview.png,440,72,56,51,0.0016098484848484,1.0,224.0961,1.0,0.9804,0.0,11.941770774103619,
47,SYN_conference_event_compact_infocom_event_compact_1060,trace_reference_synthetic,infocom_event_compact,INFOCOM-style conference event (Info5),conference_event_compact,conference_event_compact,hybrid,archetype_medoid,46,1200,STRESS,wkt/SYN_conference_event_compact_infocom_event_compact_1060,wkt/SYN_conference_event_compact_infocom_event_compact_1060/roads.wkt,wkt/SYN_conference_event_compact_infocom_event_compact_1060/metadata.json,wkt/SYN_conference_event_compact_infocom_event_compact_1060/preview.png,350,76,42,38,0.0014285714285714,1.0,95.1523,1.0,0.9737,0.0,11.159359729996142,
48,SYN_corridor_rollernet_trace_0563,trace_reference_synthetic,rollernet_trace,RollerNet contact trace,corridor_linear,corridor,hybrid,archetype_medoid,47,600,PASS,wkt/SYN_corridor_rollernet_trace_0563,wkt/SYN_corridor_rollernet_trace_0563/roads.wkt,wkt/SYN_corridor_rollernet_trace_0563/metadata.json,wkt/SYN_corridor_rollernet_trace_0563/preview.png,3050,250,29,28,3.672131147540984e-05,1.0,610.3842,0.0,0.8214,0.0,7.774002455469629,
