block,item_id,item,status,evidence,action_required,blocks_writing
features,FEAT-03,Feature-feature redundancy acceptable,PARTIAL,Persistent high pair mm_WDM <-> mm_Bus = 0.9393; max |r|=1.0 between scenarios,Disclose in Methods; justify core-23 retention,no
features,FEAT-04,Ablation 17/23/46 documented,DONE,table_ablation_metrics_en/es lista; ablation reports,,no
traffic_profiles,TP-01,12 Traffic Profiles defined and experimentally validated,PARTIAL,"validated=2, partial=0, blocked=10",Unblock TP03/TP11 after re-simulation,yes
traffic_profiles,TP-02,Traffic Profile KPI analysis report,DONE,traffic_profile_kpi_analysis.md,,no
traffic_profiles,TP-03,Stress/directional/control tiers in protocol comparison pipeline,PARTIAL,Splits in manifest_revision.csv; not wired to multi-protocol runs,Integrate tiers when running protocol comparison,no
spatial_occupancy,SPAT-01,spatial_occupancy_metrics.csv 720 rows,DONE,rows=540,,no
spatial_occupancy,SPAT-02,Spatial heatmaps 720 scenarios,PARTIAL,PNG count=600,,no
spatial_occupancy,SPAT-03,Spatial vs performance analysis report,DONE,spatial_vs_performance_analysis.md present,Write spatial_vs_performance_analysis.md linking coverage to delivery,no
spatial_occupancy,SPAT-04,Paper figure spatial_coverage_by_family_paper,PARTIAL,Indexed status revisar; summary stale=False,Regenerate figure; refresh spatial_occupancy_analysis_summary.md,no
message_windows,MSG-01,Canonical message window policy document,DONE,message_analysis_window_policy.md (full window primary; optional 10% censor),,no
message_windows,MSG-02,Policy implemented in output_metrics extraction pipeline,PARTIAL,Canonical policy documented; output_metrics uses full MessageStatsReport aggregates,Optional: implement explicit window filter in extraction code for appendix,no
message_windows,MSG-03,Per-scenario policy CSV 720 rows,DONE,message_analysis_window_policy.csv rows=540,,no
kpis,KPI-01,Per-TP KPIs under Epidemic,DONE,traffic_profile_kpi_summary.csv + traffic_profile_kpi_analysis.md,,no
kpis,KPI-02,Protocol benchmark KPI policy document,DONE,present,Write protocol_benchmark_kpi_policy.md,no
kpis,KPI-03,protocol_benchmark_kpi_definitions.csv,DONE,present,Generate KPI definitions CSV for multi-protocol comparison,no
kpis,KPI-04,Core-4 metrics agreed for cross-protocol comparison,PARTIAL,Defined in TP report; not validated across protocols,Formalize in protocol_benchmark_kpi_policy.md after runs,no
figures,FIG-01,FIGURES_AND_TABLES_INDEX.md complete,DONE,22 indexed items,,no
figures,FIG-02,Main paper figures ready (lista),PARTIAL,"lista=1/8, revisar=7",Regenerate 7 main figures marked revisar,no
figures,FIG-03,Supplementary figures ready (lista),PARTIAL,"lista=1/5, revisar=4",Regenerate supplementary figures marked revisar,no
figures,FIG-04,Protocol comparison figure (real data),MISSING,Only protocol_comparison_placeholder.png,Run multi-protocol simulations and plot comparison,yes
tables,TAB-01,English paper tables (diversity ablation families features),DONE,tables lista=9/9,,no
tables,TAB-02,Spanish draft tables,DONE,ES tables marked lista in index,,no
tables,TAB-03,Multi-protocol results tables,MISSING,No protocol comparison result tables,Generate after multi-protocol batch,yes
wiki,WIKI-01,Paper wiki rebuild pages 01-14,PARTIAL,.wiki-clone present; key pages draft status,,no
wiki,WIKI-02,Wiki aligned with canonical analysis reports,DONE,No drift detected on message window,Update 11-Message-Analysis-Window.md to match canonical policy,no
wiki,WIKI-03,Formal freeze checklist in analysis/reports,DONE,This report (paper_freeze_checklist.md) supersedes informal wiki checklist,,no
reproducibility,REP-01,Official pipeline documented (SCRIPTS_INDEX),DONE,analysis/SCRIPTS_INDEX.md 12-step pipeline,,no
reproducibility,REP-02,Dashboard for paper exploration,DONE,dashboard_readiness_report.md,,no
reproducibility,REP-03,One-command regeneration figures and tables,PARTIAL,Commands in index; 11 figures still revisar,Run build_paper_figures_tables_index.py after regen,no
reproducibility,REP-04,Simulation outputs (reports/) reproducible from manifest,PARTIAL,reports/ at repo root not fully versioned; re-sim cost high,Document exact one.sh invocations per scenario batch,no
limitations,LIM-01,Limitations documented (maps WDM synthetic mobility),PARTIAL,"Dispersed in benchmark validation (64 sospechosa, 312 valido_extremo)",Consolidate into Methods/Limitations section,no
limitations,LIM-02,Threats-to-validity section frozen,MISSING,No single limitations.md report,Write limitations/threats section or report,no
limitations,LIM-03,Extreme scenarios excluded from main protocol ranking,PARTIAL,manifest_revision splits exist; not enforced in analysis outputs,Apply benchmark_split filter in protocol comparison tables,no
